AMM	Groupe	Intitule_Groupe	Substance_active
2190154	A	microorganismes	Bacillus_firmus_I-1582
2190157	C	Substances_naturelles	Phosphonates_de_potassium
2190158	C	Substances_naturelles	Phosphonates_de_potassium
2190159	C	Substances_naturelles	Phosphonates_de_potassium
2190160	C	Substances_naturelles	Phosphonates_de_potassium
2190161	C	Substances_naturelles	Phosphonates_de_potassium
2190162	C	Substances_naturelles	Phosphonates_de_potassium
2190187	C	Substances_naturelles	Acide_pelargonique
2190190	C	Substances_naturelles	Phosphonates_de_potassium
2190191	C	Substances_naturelles	Maltodextrine
2190196	C	Substances_naturelles	Melange_de_terpeno‹des_QRD_460
2190198	C	Substances_naturelles	Soufre
2190200	C	Substances_naturelles	Extrait_d_ail
2190247	A	microorganismes	Virus_de_la_mosa‹que_du_pepino_isolat_VC1_peu_virulent_/_Virus_de_la_mosa‹que_du_pepino_isolat_VX1_peu_virulent
2190252	D	Piege_a_insectes	Piege_a_insectes_(Deltamethrine)
2190253	D	Piege_a_insectes	Piege_a_insectes_(Deltamethrine)
2190264	C	Substances_naturelles	Hydrogenocarbonate_de_potassium
2190265	C	Substances_naturelles	Hydrogenocarbonate_de_potassium
2190314	C	Substances_naturelles	6-Benzyladenine
2190316	C	Substances_naturelles	Phosphonates_de_potassium
2190317	C	Substances_naturelles	Phosphonates_de_potassium
2190318	C	Substances_naturelles	Phosphonates_de_potassium
2190319	C	Substances_naturelles	Acide_pelargonique
2190330	C	Substances_naturelles	Phosphate_ferrique
2190346	A	microorganismes	Bacillus_amyloliquefaciens_ssp._plantarum_souche_D747
2190353	B	mediateurs_chimiques_pheromones_kairomones	Pheromones_a_chaine_lineaire_de_lepidopteres_(SCLP)
2190357	C	Substances_naturelles	Acides_gras
2190441	C	Substances_naturelles	Spinosad
2190499	C	Substances_naturelles	Soufre
2190513	C	Substances_naturelles	Acide_pelargonique
2190514	C	Substances_naturelles	Acide_pelargonique
2190537	C	Substances_naturelles	Phosphate_ferrique
2190538	C	Substances_naturelles	Huile_essentielle_d_orange
2190567	C	Substances_naturelles	Phosphonate_de_disodium
2190572	C	Substances_naturelles	Phosphonates_de_potassium
2190594	B	mediateurs_chimiques_pheromones_kairomones	Pheromones_a_chaine_lineaire_de_lepidopteres_(SCLP)
2190599	B	mediateurs_chimiques_pheromones_kairomones	Pheromones_a_chaine_lineaire_de_lepidopteres_(SCLP)
2190632	C	Substances_naturelles	Soufre
2190652	C	Substances_naturelles	Soufre
2190671	A	microorganismes	Metschnikowia_fructicola_souche_NRRL_Y-27328
2190672	A	microorganismes	Metschnikowia_fructicola_souche_NRRL_Y-27328
2190673	A	microorganismes	Metschnikowia_fructicola_souche_NRRL_Y-27328
2190730	C	Substances_naturelles	COS-OGA
2190737	C	Substances_naturelles	Hydrogenocarbonate_de_potassium
2190760	C	Substances_naturelles	Spinosad
2190808	C	Substances_naturelles	Pyrethrines_et_Huile_de_colza
2190811	C	Substances_naturelles	Soufre_et_Acides_gras
2190843	C	Substances_naturelles	Huile_de_paraffine
2190856	C	Substances_naturelles	Acide_gibberellique
2190863	C	Substances_naturelles	Phosphonates_de_potassium
2190874	C	Substances_naturelles	Soufre
2190939	C	Substances_naturelles	Phosphonate_de_disodium
2190946	C	Substances_naturelles	Soufre
2190950	C	Substances_naturelles	Soufre
2190967	C	Substances_naturelles	Acide_pelargonique
2199996	B	mediateurs_chimiques_pheromones_kairomones	Pheromones_a_chaine_lineaire_de_lepidopteres_(SCLP)
2200020	A	microorganismes	Paecilomyces_fumosoroseus_souche_Fe9901
2200039	A	microorganismes	Beauveria_bassiana_souche_GHA
2200048	A	microorganismes	Bacillus_thuringiensis_subsp._kurstaki_souche_EG_2348
2200059	C	Substances_naturelles	Huile_essentielle_d_orange
2200067	C	Substances_naturelles	Phosphate_ferrique
2200068	C	Substances_naturelles	Phosphate_ferrique
2200132	B	mediateurs_chimiques_pheromones_kairomones	Pheromones_a_chaine_lineaire_de_lepidopteres_(SCLP)
2200133	B	mediateurs_chimiques_pheromones_kairomones	Pheromones_a_chaine_lineaire_de_lepidopteres_(SCLP)
2200142	C	Substances_naturelles	Cerevisane
2200147	C	Substances_naturelles	Gibberellines_GA4/GA7
2200148	C	Substances_naturelles	6-Benzyladenine_Gibberellines_GA4/GA7
2200194	C	Substances_naturelles	Phosphonates_de_potassium
2200197	A	microorganismes	Paecilomyces_lilacinus_souche_251
2200198	C	Substances_naturelles	COS-OGA
2200263	C	Substances_naturelles	Huile_de_paraffine
2200305	C	Substances_naturelles	Huile_essentielle_d_orange
2200311	A	microorganismes	Bacillus_subtilis_souche_IAB/BS03
2200366	C	Substances_naturelles	Hydrogenocarbonate_de_potassium
2200372	C	Substances_naturelles	Acide_pelargonique
2200379	B	mediateurs_chimiques_pheromones_kairomones	Pheromones_a_chaine_lineaire_de_lepidopteres_(SCLP)
2200388	B	mediateurs_chimiques_pheromones_kairomones	Pheromones_a_chaine_lineaire_de_lepidopteres_(SCLP)
2200389	B	mediateurs_chimiques_pheromones_kairomones	Pheromones_a_chaine_lineaire_de_lepidopteres_(SCLP)
2200457	C	Substances_naturelles	Phosphonates_de_potassium
2200464	C	Substances_naturelles	Phosphonates_de_potassium
2200476	C	Substances_naturelles	Phosphonates_de_potassium
2200510	C	Substances_naturelles	Cerevisane
