"AMM" "annee" "substance" "classification" "quantite_substance" "usages" "Group_BioC" "Type_BioC" "Substance_BioC"
"168" "2000045" "2010" "heptamethyltrisiloxane_modifie_polyalkylenoxide" "N_Organique" 19557,38585205 "Non_precise" NA NA NA
"169" "2000045" "2012" "cyazofamide" "N_Organique" 3911,3368 "Non_precise" NA NA NA
"170" "2000045" "2017" "cyazofamide" "N_Organique" 55,9 "Non_precise" NA NA NA
"171" "2000045" "2018" "cyazofamide" "N_Organique" 118,4 "Non_precise" NA NA NA
"172" "2000045" "2009" "cyazofamide" "N_Organique" 15968,7972 "Non_precise" NA NA NA
"173" "2000045" "2011" "heptamethyltrisiloxane_modifie_polyalkylenoxide" "N_Organique" 21089,48162428 "Non_precise" NA NA NA
"174" "2000045" "2017" "heptamethyltrisiloxane_modifie_polyalkylenoxide" "Autre" 88,66089375 "Non_precise" NA NA NA
"175" "2000045" "2014" "heptamethyltrisiloxane_modifie_polyalkylenoxide" "Autre" 347,728976925 "Non_precise" NA NA NA
"176" "2000045" "2013" "heptamethyltrisiloxane_modifie_polyalkylenoxide" "Autre" 440,476836575 "Non_precise" NA NA NA
"177" "2000045" "2008" "cyazofamide" "Autre" 12860,94 "Non_precise" NA NA NA
"178" "2000045" "2016" "cyazofamide" "N_Organique" 166,68 "Non_precise" NA NA NA
"179" "2000045" "2011" "cyazofamide" "N_Organique" 13296,7532 "Non_precise" NA NA NA
"180" "2000045" "2019" "heptamethyltrisiloxane_modifie_polyalkylenoxide" "Autre" 46,313025 "Non_precise" NA NA NA
"181" "2000045" "2010" "cyazofamide" "N_Organique" 12330,7788 "Non_precise" NA NA NA
"182" "2000045" "2012" "heptamethyltrisiloxane_modifie_polyalkylenoxide" "Autre" 6203,62462345 "Non_precise" NA NA NA
"183" "2000045" "2016" "heptamethyltrisiloxane_modifie_polyalkylenoxide" "Autre" 264,3648975 "Non_precise" NA NA NA
"184" "2000045" "2014" "cyazofamide" "N_Organique" 219,2404 "Non_precise" NA NA NA
"185" "2000045" "2015" "cyazofamide" "N_Organique" 68,54 "Non_precise" NA NA NA
"186" "2000045" "2018" "heptamethyltrisiloxane_modifie_polyalkylenoxide" "Autre" 187,7898 "Non_precise" NA NA NA
"187" "2000046" "2013" "metamitrone" "N_Organique" 12082 "Herbicide" NA NA NA
"188" "2000046" "2017" "metamitrone" "N_Organique" 20214,642 "Herbicide" NA NA NA
"189" "2000046" "2010" "metamitrone" "N_Organique" 19268,375 "Herbicide" NA NA NA
"190" "2000046" "2009" "metamitrone" "N_Organique" 19806,01 "Herbicide" NA NA NA
"191" "2000046" "2019" "ethofumesate" "Env_A" 6085,122 "Herbicide" NA NA NA
"192" "2000046" "2010" "ethofumesate" "N_Organique" 8257,875 "Herbicide" NA NA NA
"193" "2000046" "2015" "ethofumesate" "N_Organique" 5343 "Herbicide" NA NA NA
"194" "2000046" "2008" "metamitrone" "N_Organique" 20153 "Herbicide" NA NA NA
"195" "2000046" "2008" "ethofumesate" "N_Organique" 8637 "Herbicide" NA NA NA
"196" "2000046" "2012" "metamitrone" "N_Organique" 14570,99 "Herbicide" NA NA NA
"197" "2000046" "2018" "ethofumesate" "N_Organique" 14836,515 "Herbicide" NA NA NA
"198" "2000046" "2013" "ethofumesate" "N_Organique" 5178 "Herbicide" NA NA NA
"199" "2000046" "2019" "metamitrone" "Env_A" 14198,618 "Herbicide" NA NA NA
"200" "2000046" "2011" "ethofumesate" "N_Organique" 7720,005 "Herbicide" NA NA NA
"201" "2000046" "2015" "metamitrone" "N_Organique" 12467 "Herbicide" NA NA NA
"202" "2000046" "2016" "ethofumesate" "N_Organique" 5643 "Herbicide" NA NA NA
"203" "2000046" "2009" "ethofumesate" "N_Organique" 8488,29 "Herbicide" NA NA NA
"204" "2000046" "2012" "ethofumesate" "N_Organique" 6244,71 "Herbicide" NA NA NA
"205" "2000046" "2018" "metamitrone" "N_Organique" 34618,535 "Herbicide" NA NA NA
"206" "2000046" "2014" "ethofumesate" "N_Organique" 5487 "Herbicide" NA NA NA
"207" "2000046" "2017" "ethofumesate" "N_Organique" 8663,418 "Herbicide" NA NA NA
"208" "2000046" "2011" "metamitrone" "N_Organique" 18013,345 "Herbicide" NA NA NA
"209" "2000046" "2016" "metamitrone" "N_Organique" 13167 "Herbicide" NA NA NA
"210" "2000046" "2014" "metamitrone" "N_Organique" 12803 "Herbicide" NA NA NA
"211" "2000051" "2009" "florasulame" "N_Organique" 208,4 "Herbicide" NA NA NA
"212" "2000051" "2008" "florasulame" "N_Organique" 191,76 "Herbicide" NA NA NA
"213" "2000051" "2012" "florasulame" "N_Organique" 258,675 "Herbicide" NA NA NA
"214" "2000051" "2016" "florasulame" "N_Organique" 24,0925 "Herbicide" NA NA NA
"215" "2000051" "2013" "florasulame" "N_Organique" 298,8275 "Herbicide" NA NA NA
"216" "2000051" "2011" "florasulame" "N_Organique" 283,5 "Herbicide" NA NA NA
"217" "2000051" "2010" "florasulame" "N_Organique" 224,825 "Herbicide" NA NA NA
"218" "2000051" "2019" "florasulame" "Env_A" 0,15 "Herbicide" NA NA NA
"219" "2000051" "2014" "florasulame" "N_Organique" 261,36375 "Herbicide" NA NA NA
"220" "2000051" "2018" "florasulame" "N_Organique" 0,0775 "Herbicide" NA NA NA
"221" "2000051" "2017" "florasulame" "N_Organique" 1,47 "Herbicide" NA NA NA
"222" "2000051" "2015" "florasulame" "N_Organique" 63,16 "Herbicide" NA NA NA
"223" "2000052" "2014" "oxadiargyl" "N_Organique" 178,875 "Herbicide" NA NA NA
"224" "2000052" "2012" "aclonifen" "N_Organique" 87742,85 "Herbicide" NA NA NA
"225" "2000052" "2009" "aclonifen" "N_Organique" 110745,75 "Herbicide" NA NA NA
"226" "2000052" "2014" "aclonifen" "N_Organique" 2385 "Herbicide" NA NA NA
"227" "2000052" "2015" "oxadiargyl" "T,_T+,_CMR" 1,875 "Herbicide" NA NA NA
"228" "2000052" "2016" "aclonifen" "T,_T+,_CMR" 15 "Herbicide" NA NA NA
"229" "2000052" "2009" "oxadiargyl" "N_Organique" 8305,93125 "Herbicide" NA NA NA
"230" "2000052" "2016" "oxadiargyl" "T,_T+,_CMR" 1,125 "Herbicide" NA NA NA
"231" "2000052" "2008" "aclonifen" "N_Organique" 84194,4 "Herbicide" NA NA NA
"232" "2000052" "2010" "aclonifen" "N_Organique" 100167,5 "Herbicide" NA NA NA
"233" "2000052" "2010" "oxadiargyl" "N_Organique" 7512,5625 "Herbicide" NA NA NA
"234" "2000052" "2013" "oxadiargyl" "N_Organique" 4185,54 "Herbicide" NA NA NA
"235" "2000052" "2008" "oxadiargyl" "N_Organique" 6314,58 "Herbicide" NA NA NA
"236" "2000052" "2015" "aclonifen" "T,_T+,_CMR" 25 "Herbicide" NA NA NA
"237" "2000052" "2011" "oxadiargyl" "N_Organique" 6787,3875 "Herbicide" NA NA NA
"238" "2000052" "2013" "aclonifen" "N_Organique" 55807,2 "Herbicide" NA NA NA
"239" "2000052" "2012" "oxadiargyl" "N_Organique" 6580,71375 "Herbicide" NA NA NA
"240" "2000052" "2011" "aclonifen" "N_Organique" 90498,5 "Herbicide" NA NA NA
"241" "2000071" "2016" "dicamba" "N_Organique" 335,31885 "Herbicide" NA NA NA
"242" "2000071" "2019" "2,4-d" "Env_B" 27,97725 "Herbicide" NA NA NA
"243" "2000071" "2010" "2,4-d" "N_Organique" 3890,53929824 "Herbicide" NA NA NA
"244" "2000071" "2017" "2,4-d" "N_Organique" 1209,11644 "Herbicide" NA NA NA
"245" "2000071" "2019" "dicamba" "Env_B" 3,99675 "Herbicide" NA NA NA
"246" "2000071" "2009" "2,4-d" "N_Organique" 4215,02238959 "Herbicide" NA NA NA
"247" "2000071" "2011" "2,4-d" "N_Organique" 3547,910482 "Herbicide" NA NA NA
"248" "2000071" "2012" "2,4-d" "N_Organique" 3162,15378318 "Herbicide" NA NA NA
"249" "2000071" "2015" "2,4-d" "N_Organique" 1916,66937 "Herbicide" NA NA NA
"250" "2000071" "2018" "dicamba" "N_Organique" 69,2531 "Herbicide" NA NA NA
"251" "2000071" "2011" "sulfate_de_fer_(sulfate_ferreux_heptahydrate)" "Autre" 135884,9714656 "Herbicide" NA NA NA
"252" "2000071" "2010" "sulfate_de_fer_(sulfate_ferreux_heptahydrate)" "Autre" 149007,655128 "Herbicide" NA NA NA
"253" "2000071" "2008" "dicamba" "Autre" 610,280164 "Herbicide" NA NA NA
"254" "2000071" "2016" "2,4-d" "N_Organique" 2347,23195 "Herbicide" NA NA NA
"255" "2000071" "2008" "2,4-d" "N_Organique" 4271,961148 "Herbicide" NA NA NA
"256" "2000071" "2015" "sulfate_de_fer_(sulfate_ferreux_heptahydrate)" "Autre" 73408,436871 "Herbicide" NA NA NA
"257" "2000071" "2011" "dicamba" "N_Organique" 506,844354572 "Herbicide" NA NA NA
"258" "2000071" "2013" "sulfate_de_fer_(sulfate_ferreux_heptahydrate)" "Autre" 87876,3546633 "Herbicide" NA NA NA
"259" "2000071" "2014" "sulfate_de_fer_(sulfate_ferreux_heptahydrate)" "Autre" 88886,501354 "Herbicide" NA NA NA
"260" "2000071" "2014" "2,4-d" "N_Organique" 2320,79638 "Herbicide" NA NA NA
"261" "2000071" "2012" "dicamba" "N_Organique" 451,73625474 "Herbicide" NA NA NA
"262" "2000071" "2009" "dicamba" "N_Organique" 602,146055656 "Herbicide" NA NA NA
"263" "2000071" "2017" "sulfate_de_fer_(sulfate_ferreux_heptahydrate)" "Autre" 46309,159652 "Herbicide" NA NA NA
"264" "2000071" "2013" "dicamba" "N_Organique" 327,774541824 "Herbicide" NA NA NA
"265" "2000071" "2014" "dicamba" "N_Organique" 331,54234 "Herbicide" NA NA NA
"266" "2000071" "2015" "dicamba" "N_Organique" 273,80991 "Herbicide" NA NA NA
"267" "2000071" "2018" "sulfate_de_fer_(sulfate_ferreux_heptahydrate)" "Autre" 18566,75611 "Herbicide" NA NA NA
